dateCreated	nPosts
2017-01-01	18
2010-07-08	10662
2017-01-02	49
2017-01-07	24
2017-01-08	36
2014-05-10	80
2017-01-05	34
2017-01-06	27
2014-05-12	85
2014-05-11	102
2010-07-01	19265
2014-05-14	72
2017-01-09	56
2014-05-13	79
2014-05-05	142
2014-05-04	121
2014-05-07	172
2014-05-06	82
2014-05-09	106
2014-05-08	189
2012-04-27	87
2012-04-28	104
2012-04-29	89
2015-04-23	4014
2013-03-27	7964
2015-04-22	3524
2013-03-28	8592
2015-04-21	3722
2013-03-25	8594
2015-04-20	3776
2013-03-26	8538
2013-03-29	7407
2013-03-30	5192
2015-04-19	2625
2013-03-31	3899
2015-04-18	2701
2015-04-17	3884
2015-04-16	3363
2015-04-15	3253
2015-04-14	3088
2015-04-13	3453
2012-04-30	68
2015-04-12	2445
2013-03-16	5905
2015-04-11	2477
2013-03-17	6384
2015-04-10	3259
2013-03-14	9019
2013-03-15	8041
2013-03-18	8643
2013-03-19	9030
2015-04-09	3719
2015-04-08	3536
2013-03-20	10302
2015-04-07	3731
2015-04-06	2434
2015-04-05	2043
2013-03-23	5500
2015-04-04	2184
2013-03-24	6168
2015-04-03	3365
2013-03-21	8523
2015-04-02	3569
2013-03-22	8767
2012-04-09	78
2017-01-30	45
2012-04-05	105
2012-04-06	120
2012-04-07	77
2012-04-08	75
2015-04-01	3965
2016-02-29	48
2012-04-12	82
2016-02-25	33
2012-04-13	65
2016-02-26	19
2012-04-14	82
2016-02-27	47
2016-02-28	25
2012-04-15	101
2016-02-21	29
2016-02-22	29
2012-04-10	68
2016-02-23	25
2012-04-11	96
2016-02-24	21
2012-04-16	133
2012-04-17	130
2012-04-18	115
2012-04-19	75
2012-04-23	76
2012-04-24	86
2012-04-25	82
2012-04-26	62
2012-04-20	85
2012-04-21	104
2012-04-22	58
2016-11-07	32
2016-11-08	27
2016-11-05	23
2016-11-06	14
2016-11-09	19
2014-01-19	168
2014-01-18	162
2014-01-17	144
2014-01-16	124
2014-01-15	144
2014-01-14	142
2016-11-03	37
2014-01-13	180
2016-11-04	39
2014-01-12	168
2016-11-01	26
2014-01-11	232
2016-11-02	34
2014-01-21	236
2014-01-20	172
2014-01-29	256
2014-01-28	244
2014-01-27	224
2014-01-26	204
2014-01-25	132
2014-01-24	160
2014-01-23	124
2014-01-22	180
2014-01-31	162
2014-01-30	334
2015-04-30	3441
2015-04-29	3516
2015-04-28	3629
2015-04-27	3598
2015-04-26	2730
2015-04-25	2886
2015-04-24	3622
2010-03-30	140
2010-03-31	131
2010-03-29	122
2010-03-28	69
2010-03-27	65
2010-03-26	108
2010-03-25	129
2016-11-30	14
2010-03-24	124
2010-03-23	92
2010-03-22	171
2010-03-21	83
2010-03-20	93
2010-03-19	145
2010-03-18	128
2010-03-17	128
2012-01-16	48
2016-11-29	19
2012-01-15	69
2016-11-27	14
2012-01-14	68
2016-11-28	24
2012-01-13	52
2012-01-19	70
2012-01-18	84
2012-01-17	104
2016-11-21	37
2010-03-16	96
2010-03-15	93
2016-11-22	27
2010-03-14	64
2016-11-20	41
2010-03-13	50
2010-03-12	109
2016-11-25	51
2010-03-11	156
2016-11-26	26
2010-03-10	139
2016-11-23	22
2016-11-24	31
2010-03-09	193
2010-03-08	147
2010-03-07	174
2010-03-06	166
2012-01-23	90
2012-01-22	97
2012-01-21	54
2012-01-20	73
2012-01-27	81
2016-11-18	69
2012-01-26	79
2016-11-19	65
2012-01-25	100
2016-11-16	64
2012-01-24	92
2016-11-17	33
2014-01-09	246
2012-01-29	66
2014-01-08	116
2012-01-28	48
2014-01-07	80
2016-11-10	20
2010-03-05	169
2014-01-06	132
2016-11-11	33
2010-03-04	170
2014-01-05	74
2010-03-03	156
2014-01-04	122
2010-03-02	202
2014-01-03	136
2010-03-01	151
2016-11-14	33
2014-01-02	164
2016-11-15	39
2014-01-01	132
2016-11-12	30
2016-11-13	39
2014-01-10	234
2012-01-30	91
2012-01-31	71
2015-08-21	2619
2015-08-20	2582
2015-08-23	2338
2015-08-22	2041
2015-08-25	2958
2015-08-24	3221
2015-08-27	3016
2015-08-26	3098
2015-08-18	3116
2015-08-17	2576
2015-08-19	3085
2012-01-01	72
2015-08-10	2927
2012-01-05	80
2012-01-04	73
2015-08-12	2753
2012-01-03	49
2015-08-11	2788
2012-01-02	66
2015-08-14	2781
2012-01-09	136
2015-08-13	2772
2012-01-08	103
2015-08-16	2447
2012-01-07	87
2015-08-15	2138
2012-01-06	95
2015-08-07	2037
2015-08-06	2907
2015-08-09	1865
2015-08-08	2074
2012-01-12	67
2012-01-11	86
2012-01-10	77
2016-06-30	12
2016-06-29	22
2016-06-27	33
2016-06-28	20
2016-06-25	25
2016-06-26	30
2014-08-13	120
2014-08-12	1765
2014-08-11	2762
2014-08-10	1952
2014-08-17	52
2014-08-16	52
2014-08-15	103
2014-08-14	80
2014-08-09	1965
2014-08-08	2682
2014-08-07	2870
2014-08-20	59
2014-08-24	77
2014-08-23	47
2014-08-22	16
2014-08-21	53
2014-08-28	40
2014-08-27	68
2014-08-26	60
2014-08-25	93
2014-08-19	69
2014-08-18	81
2014-08-31	41
2014-08-30	32
2014-08-29	54
2015-08-31	3008
2015-08-30	2544
2015-08-29	2010
2015-08-28	2614
2016-05-01	24
2013-02-15	44
2013-02-16	72
2014-06-30	75
2013-02-13	88
2013-02-14	34
2013-02-19	44
2013-02-17	50
2013-02-18	55
2014-06-29	55
2012-09-01	4915
2014-06-27	36
2014-06-28	39
2013-02-22	65
2013-02-23	82
2013-02-20	46
2013-02-21	64
2012-09-09	68
2012-09-08	57
2012-09-07	92
2012-09-06	7070
2012-09-05	9356
2012-09-04	8701
2012-09-03	9742
2012-09-02	7058
2016-05-11	28
2016-05-12	22
2016-05-10	26
2013-02-04	66
2013-02-05	64
2013-02-02	5985
2013-02-03	408
2013-02-08	43
2013-02-09	54
2013-02-06	66
2013-02-07	76
2012-09-12	51
2012-09-11	55
2012-09-10	66
2013-02-11	78
2013-02-12	55
2013-02-10	84
